1000 750
-2894741506 -8557155568 -8795043393
2714559276 -110211130 -9098495508
6435963532 9147018105 7980957363
8985428316 -6579716699 9871756197
4659498043 -8135797405 8809239229
-2377863481 8038611718 -8511728995
9295800731 853995086 1450577894
-1577765673 -6811358006 -9479480902
197456722 714750108 -6197041113
-2881434414 1681055031 -3736214243
-5156212246 8696509595 -2063811771
-329440644 4413030138 -8347042595
-442819016 -1404016483 3987082979
8950882917 -6653557257 -9557176314
-8729101110 -1746783214 -3163178203
-7845413651 7634662145 -6790451520
-8986696568 9946689690 -2224784202
246475091 -6541660639 186099297
-3251616955 -1668178663 -2451626575
-4539492191 -4547638029 -7730150211
-6118955386 4147722943 291151425
2074995611 665046851 -1848881895
1301630965 3252798942 -1696169810
-61848878 -9483776270 -2278166698
6929157456 8289571826 -6470049341
2758228607 3839346476 -8251512711
-6029216842 3894154263 6731919117
8099001885 -2383545268 -8411723174
9962125685 9454263616 -3915374089
1425486113 -2720069828 -2780514426
-6354311938 755664749 -797104248
7482486258 -2772759940 4865327451
6410485028 -3104592129 -8600940849
9484937327 2097783988 3572294386
5241145140 7630492318 3617694370
4822171082 -8275282328 -6304560889
-885644450 -5898699665 -4318361085
-2129396537 8676347327 -7959814898
-4641764671 -6885376078 7961421763
-8798136409 -198295801 7262376085
-8778170039 -1482645125 -811466946
3120210612 5072537248 3933840454
1260901325 -7958431926 3346580858
-5014848339 -1144726540 -5128772305
3654241229 -3356481157 -1516838149
-2401617390 -6714862537 -9406985528
5665278654 -4026343156 -2525562792
4155510870 6261862420 -3748524686
-6240606712 4401772050 5503079115
-4376932231 2860211732 7456592966
-7097968883 -4250989456 741126308
5831954193 8258844661 544167283
1518819626 1432720669 -352510216
-1022427422 -3980432206 -9946237008
-915747057 -2937292214 9339789476
3732574243 7555076751 -8762291704
-8721420252 -3319082006 -3139079805
8838893693 -9679796750 3574923989
1588939888 -9664646597 -460311484
-1460095410 -2709442584 -389509278
1217640070 -8527153560 9660549508
-89941651 3517157110 7821783466
-7472412647 -6346609517 2413867402
6873307291 -4110614523 -718861543
9800183330 -1312218974 2100841536
-7868555559 -6241742207 7772652763
8874852882 1960792696 2496161872
-5621871432 9424605008 4687825382
2171297390 9821251498 6825982011
-3009535046 2477897559 -3123011088
-3205996826 6192301274 995962211
6578231293 9375324102 -937046628
3010081541 -2237847582 3389972893
-9016526568 8539399656 6719793492
-2103526044 6254011829 -8090634241
-2844178664 1043844661 9821590439
7530052458 2469616467 571849216
-8607674619 5872789511 -6180395462
9862578654 -4689748484 -808441485
-1733687208 7187126826 -3519306962
-563312600 292965153 6285812249
-2604895993 4268887939 8512907450
-5472705116 -2259055282 -1906718313
-95723088 -8131079956 6835718920
6636109989 2577970569 -6475051025
5656738287 8238120923 -7451677383
3609656662 4411139524 -7252580594
8936554021 6903028676 -8437739396
-8521105600 5507068682 9910485624
5332171315 -6850324779 3679372274
8507746756 9494328799 5479618734
-6514655983 5543931383 -7825367501
-6225798682 5654140150 7274385957
5516873922 -9476075784 2878422618
3485613089 9504279130 7240077624
-1657129813 -6865323887 4031631499
8307860451 -5411654458 -2108289885
6002251991 -4633612673 2096979554
6741859999 1268127916 -6599246372
9747770641 -6448502226 1779070197
-7225287962 -5978753091 3981887500
-1214576249 7560116928 -900666399
-7404446619 2027564431 -3315890576
-4467832033 -2861275793 7800955484
5794739170 -3437256441 6352716557
-804920666 4004160444 8025415303
4369090134 -3264170439 5980928553
4369056153 -6704302923 -5490433177
93186906 8504424376 -6759514084
895374070 3407821847 6481772200
6655103892 3953214774 8866477662
-8361821262 -7231749248 -411384739
1440617805 -9481762738 1904034893
5024542206 9685425982 -6151556771
2259927140 -3458218685 7302874752
5064205808 -818990825 1582420829
